NAME:;Puylaurens;-;France;;;;;;;;;;;;;;;;;;;;;
ELEV:;320;mètres;LAT:;43-33.94;N;LONG:;002-01.84;E;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
DAY;T_MEAN;T_HIGH;TIME;T_LOW;TIME;HEAT_DEG_DAYS;COOL_DEG_DAYS;RAIN;AVG_WIND_SPEED;HIGH;TIME;DOM_DIR;Temp_Max;Temp_Moy ;Temp_Min;Humidite_Max [%];Humidite_Moy [%];Humidite_Min [%];V_vents_Max [km/h];V_vents_Moy  [km/h];V_vents_Min  [km/h];Pression_Max [hPa];Pression_Min [hPa];Precipitation [mm]
04/01/23;6.9;10.6;14:37;2.9;08:35;11.5;0;0.3;1.9;11.2;00:12;6;10.6;6.8;2.9;96;90;78;7.6;1.9;0;1036.9;1034.5;0.3
05/01/23;9;12.5;14:38;6.5;03:55;9.3;0;0;1.2;13.3;14:15;350;12.4;9.1;6.5;90;85;74;4.5;1.1;0;1035.6;1027.1;0
06/01/23;8.8;10;16:16;7.1;23:33;9.5;0;0;1.2;8.6;00:58;8;10;8.8;7.1;93;89;85;5.3;1.3;0;1027.8;1023.4;0
07/01/23;10.2;14.8;14:12;7.5;00:00;8.1;0;0;4.4;19.8;10:23;90;14.8;10.2;7.5;90;81;66;9.2;4.3;0.5;1023.4;1014.6;0
08/01/23;9.8;12.4;14:14;7.8;08:49;8.6;0;5.9;4.2;35.3;18:56;239;12.4;9.8;7.8;96;90;80;21.9;4.2;0;1015.6;1007.8;5.8
09/01/23;7;9.3;00:05;3.8;13:37;11.3;0;9.3;16.2;52.9;13:06;265;9.4;7.1;3.9;94;89;84;29;16.1;5.1;1027.1;1012.9;8.6
10/01/23;8.3;11.9;13:24;6;07:50;10;0;0.8;4.4;37.4;01:09;309;;;;;;;;;;;;
11/01/23;8;9.9;17:15;5.7;06:40;10.3;0;4.4;7.2;35.3;15:43;274;9.9;8.2;5.7;96;90;80;18.8;8;0;1032.2;1024;4.3
12/01/23;7.9;11.4;15:17;5.2;06:03;10.4;0;0;4.1;26.3;00:01;274;11.3;7.9;5.2;96;89;78;16.4;4.2;0;1032.5;1026.1;0
13/01/23;8.8;12.8;14:51;6.5;04:00;9.5;0;0.5;6.3;33.1;09:56;271;12.8;8.8;6.5;95;89;77;18.2;6.3;0;1029.5;1025.7;0.5
14/01/23;8.6;11.9;15:22;5.1;07:53;9.7;0;0;2.9;13.3;11:43;123;11.9;8.6;5.2;94;86;69;6.6;2.9;0;1029.1;1017.9;0
15/01/23;6.3;8.6;00:15;3.8;23:41;12;0;2.6;8.1;31;14:37;274;8.6;6.3;3.8;94;88;82;17.1;8;0;1023;1016.6;2.5
16/01/23;4.9;6.8;14:10;3.3;01:21;13.4;0;13.9;10.2;50.8;04:50;233;6.8;4.9;3.3;95;88;68;26.4;10.3;1.1;1016.9;996.6;14
17/01/23;4.4;6.8;12:44;2.3;22:08;14;0;11.6;15;55.1;14:34;244;6.7;4.4;2.4;96;92;85;33;15;0.2;996.6;989.5;11.7
18/01/23;2;4.4;14:13;0.1;21:02;16.4;0;2.3;11;46.4;00:36;271;4.3;1.9;0.1;95;88;69;24.3;10.9;1;1013.9;996.3;2.3
19/01/23;1.7;4.7;14:29;-0.1;03:23;16.6;0;14.4;6;33.1;07:40;306;4.6;1.7;-0.1;96;93;88;15.6;6;0.5;1016.9;1003.4;14.5
20/01/23;0.9;2.7;14:58;-0.1;23:58;17.5;0;1.8;8.4;39.6;08:37;303;2.6;0.9;0;97;90;79;18.2;8.4;3.7;1025.7;1008.5;1.8
21/01/23;-0.1;1.2;17:15;-1.1;02:47;18.5;0;0.3;9.2;46.4;17:28;309;1;-0.4;-1.1;96;93;82;18.3;7.6;1.1;1025.7;1022.7;0.3
22/01/23;-1.4;-0.4;00:08;-1.8;22:55;19.7;0;0;13.4;41.8;12:24;288;-0.4;-1.4;-1.8;90;88;84;19.8;13.7;6.4;1030.5;1026.4;0
23/01/23;-1.2;-0.6;23:40;-1.8;02:00;19.5;0;0;12.9;37.4;17:35;273;-0.6;-0.9;-1.8;93;92;87;18.7;13.7;5.8;1029.8;1027.4;0
24/01/23;0.5;2.7;15:00;-0.7;00:21;17.8;0;0;4;33.1;00:23;281;2.7;0.5;-0.7;94;89;80;17.2;4;0;1033.5;1028.4;0
25/01/23;-0.5;0.4;15:40;-2.3;06:51;18.9;0;0;3.9;19.8;14:49;291;0.4;-0.6;-2.3;95;92;85;11.3;3.9;0;1033.5;1028.1;0
26/01/23;0.4;1.5;15:13;-0.3;01:25;17.9;0;1;7.9;28.8;20:56;293;1.5;0.4;-0.3;97;93;88;15;7.9;1.1;1027.8;1021;1
27/01/23;0.5;2.3;20:24;-1.3;07:55;17.8;0;0.3;12.7;41.8;19:16;278;2.3;0.5;-1.3;95;89;83;22.7;12.7;5;1022;1019.3;0.3
28/01/23;1.9;3.6;15:17;1.3;08:05;16.4;0;0;9;35.3;01:15;298;3.6;1.9;1.3;92;83;71;15.9;9;2.3;1027.4;1021.3;0
29/01/23;2.5;5.3;11:46;1;07:57;15.8;0;0;5.9;24.1;00:24;290;5.3;2.6;1;88;79;67;13.8;6;1.6;1031.5;1027.1;0
30/01/23;2.5;4.9;13:56;1.3;08:00;15.8;0;0;6.7;24.1;11:30;298;4.8;2.5;1.3;81;75;67;13.8;6.6;1.6;1034.2;1030.8;0
31/01/23;4;7.3;15:14;1;04:04;14.4;0;0;5.4;26.3;00:16;288;7.3;4;1.1;94;87;77;15.9;5.5;0;1034.9;1032.5;0
01/02/23;6;8.5;13:00;5.2;21:26;12.3;0;0.3;5.2;28.8;22:27;293;8.4;6;5.2;95;87;78;14.2;5.3;0;1034.9;1031.8;0.3
02/02/23;5.8;9.9;14:29;2.5;08:25;12.5;0;0;3.8;22;13:16;319;9.8;5.8;2.5;85;75;60;9.5;3.9;1;1035.9;1033.5;0
03/02/23;4.7;8.9;15:48;1;06:51;13.6;0;0;2.8;19.8;21:07;318;8.8;4.7;1;89;78;66;11.3;2.7;0;1036.9;1034.5;0
04/02/23;4.3;7.8;16:50;0.7;05:36;14.1;0;0;4.6;35.3;21:31;299;7.7;4.3;0.7;91;83;73;20;4.7;0;1038.6;1034.9;0
05/02/23;5.6;8.2;15:45;3.3;01:30;12.8;0;0;8.1;33.1;18:42;286;8.2;5.6;3.3;93;88;77;17.7;8.2;1.4;1040.3;1035.2;0
06/02/23;5.9;10.8;13:44;1.6;06:48;12.4;0;0;3.4;19.8;00:15;327;10.8;5.9;1.7;83;72;58;8.9;3.4;0;1035.2;1029.1;0
07/02/23;4.5;6.6;13:44;2.2;03:20;13.8;0;0.3;7.5;43.9;16:24;92;6.6;4.5;2.2;86;78;72;24.6;7.6;0;1032.2;1026.4;0.3
08/02/23;5.7;10.4;12:19;3;07:09;12.7;0;0;7.2;31;04:36;80;10.4;5.7;3.1;77;68;57;15;7.2;2.3;1032.2;1029.8;0
09/02/23;6.7;11.4;12:52;4.1;05:55;11.6;0;0;5.6;26.3;11:42;142;11.4;6.7;4.1;71;63;50;16.9;5.6;0.6;1038.6;1031.8;0
10/02/23;4.9;10;14:24;0.7;07:05;13.5;0;0;1.7;22;13:20;322;10;4.9;0.7;87;69;48;6.8;1.8;0;1040.3;1036.9;0
11/02/23;6;12.2;14:50;0.6;07:05;12.3;0;0;3.4;19.8;22:54;96;12.2;6.1;0.6;73;62;48;8.7;3.4;0.2;1038.3;1032.8;0
12/02/23;7.7;14.2;14:24;3.2;02:45;10.6;0;0;4.3;22;09:25;104;14.2;7.7;3.2;66;51;35;9.5;4.3;0;1034.5;1031.5;0
13/02/23;8.6;15.8;14:30;3.2;05:49;9.7;0;0;5.4;26.3;21:56;68;15.8;8.6;3.2;73;49;32;13.2;5.3;0;1035.6;1032.5;0
14/02/23;9.5;15.4;13:15;5.7;06:34;8.8;0;0;7.2;33.1;21:49;75;15.4;9.5;5.8;77;65;49;15.6;7.2;1.3;1034.2;1028.4;0
15/02/23;9.9;15.9;13:27;5.1;07:35;8.4;0;0;5.5;24.1;00:23;58;15.9;9.9;5.1;84;69;52;12.4;5.5;0;1031.2;1027.4;0
16/02/23;9.1;14.5;15:13;3.9;06:30;9.2;0;0;2.2;19.8;01:17;39;14.4;9.1;3.9;84;69;51;9.7;2.3;0;1032.8;1030.5;0
17/02/23;10.7;16.2;14:33;5.8;07:29;7.6;0;0;1.4;17.6;14:12;338;16.2;10.7;5.8;76;67;56;5.8;1.4;0;1034.9;1031.8;0
18/02/23;12.3;18;14:49;6.8;07:21;6.1;0;0;2.1;13.3;16:50;338;17.9;12.3;6.8;84;72;58;7.2;2.1;0;1033.2;1027.8;0
19/02/23;11.6;16.2;15:01;7.4;07:54;6.7;0;0.5;2.5;19.8;13:34;329;16.2;11.6;7.5;90;78;66;7.1;2.4;0;1031.2;1027.8;0.5
20/02/23;12.2;18.4;14:26;7.2;05:18;6.1;0;0;3.7;24.1;23:08;88;18.4;12.2;7.3;91;73;48;13.4;3.7;0;1029.5;1022.7;0
21/02/23;11.7;16.8;12:51;8.2;07:15;6.7;0;0.3;4.5;26.3;00:39;102;16.8;11.7;8.2;84;73;59;14.5;4.5;0;1022.7;1017.6;0
22/02/23;10.3;13.2;14:43;7.9;08:06;8;0;0.3;3;17.6;03:49;228;13.2;10.3;7.9;93;88;82;10.1;3.1;0.2;1020;1016.9;0.5
23/02/23;7.9;12.1;10:05;5.5;20:34;10.4;0;0.8;4.2;35.3;12:27;346;12;7.9;5.6;97;92;77;19;4.2;0;1016.9;1007.8;0.8
24/02/23;5.1;8.3;00:10;2.9;06:33;13.2;0;3.6;3.8;22;01:19;1;8.1;5.1;2.9;95;88;77;12.4;3.7;0;1012.9;1007.8;3.6
25/02/23;3.9;6.1;14:25;0.8;08:04;14.5;0;0.8;3.5;26.3;23:44;269;6.1;3.8;0.8;93;88;82;15.6;3.5;0;1009.8;1005.4;0.8
26/02/23;4.2;8.5;14:27;-0.4;23:35;14.1;0;0.3;10.9;50.8;18:51;309;8.4;4.2;-0.4;90;68;35;22.5;10.9;3.4;1013.5;1005.8;0.3
27/02/23;-0.1;1;17:45;-1.9;06:27;18.5;0;0;8.4;31;00:00;275;1;-0.1;-1.9;89;77;60;15;8.5;3.4;1022;1012.5;0
28/02/23;1.5;6.1;14:04;-1.3;07:52;16.8;0;0;8.3;35.3;15:48;286;5.9;1.5;-1.3;82;67;51;20.9;8.4;0.5;1024.4;1021.7;0
01/03/23;1.8;6.1;15:47;-2.2;05:08;16.6;0;0;6.1;33.1;23:04;299;6;1.8;-2.2;74;62;50;16.9;6.1;0.2;1024;1017.6;0
02/03/23;2.6;5.2;15:53;0.4;04:27;15.8;0;0;5.4;31;00:38;273;5.2;2.6;0.4;79;72;57;17.4;5.5;0.2;1023;1019;0
03/03/23;4.9;9.9;15:04;1.9;03:54;13.5;0;0;5.9;28.8;20:17;299;9.8;4.9;1.9;81;68;52;14.5;6;0;1024.7;1021.3;0
04/03/23;5.7;10.3;15:26;1.8;08:40;12.7;0;0;6.2;26.3;11:31;289;10.3;5.7;1.8;78;67;55;13.8;6.1;0.5;1025.4;1021.3;0
05/03/23;6.3;11.7;15:02;1.1;06:52;12;0;0;3;24.1;14:04;289;11.7;6.3;1.2;83;69;55;11.3;3.1;0;1022;1012.9;0
06/03/23;4.9;8.6;15:31;1.5;06:48;13.4;0;0;2.7;24.1;15:19;344;8.6;4.9;1.6;84;72;64;7.7;2.7;0;1014.6;1011.5;0
07/03/23;6.2;14;12:11;2.7;08:42;12.1;0;4.6;4.5;26.3;13:55;0;13.9;6.2;2.7;94;80;58;12.7;4.5;0;1011.9;1004.4;4.6
08/03/23;12.2;19.7;15:04;5.4;03:05;6.1;0;0.3;4.7;28.8;22:53;171;19.7;12.2;5.4;94;79;60;12.7;4.7;0.6;1010.2;1005.1;0.3
09/03/23;13.3;19.2;15:42;10.2;07:35;5.1;0;12.5;5;33.1;19:40;206;19.2;13.3;10.2;92;80;57;22.7;5;0.3;1011.5;1005.4;12.4
10/03/23;11.6;15.2;14:13;9.5;03:03;6.7;0;6.7;16.4;61.6;06:06;269;15.1;11.6;9.6;92;81;63;36;16.4;0.5;1016.3;1009.8;6.6
11/03/23;13.4;15.5;04:23;10.8;00:00;4.9;0;10.1;18;55.1;04:37;275;15.4;13.4;10.8;95;89;77;32;17.9;0.6;1019.3;1011.9;10.2
12/03/23;12.9;16.7;15:33;10.2;06:28;5.5;0;3.1;4.5;31;00:09;336;16.6;12.8;10.2;97;89;78;12.6;4.5;0.2;1022;1017.9;3
13/03/23;15.9;24;13:52;9.1;23:57;2.4;0;13.4;6.8;52.9;20:58;139;24;15.9;9.2;90;78;54;22.7;6.8;0.3;1018.3;1003.7;13.5
14/03/23;9.3;12.1;14:08;7.9;15:11;9;0;4.4;16.9;72.7;05:48;272;12;9.3;7.9;91;85;72;38.6;16.9;2.1;1022;1012.5;4.3
15/03/23;10;13.7;15:57;7.8;06:10;8.4;0;0.5;9.1;39.6;01:24;289;13.7;9.9;7.8;94;83;66;20.9;9.2;0.8;1022.4;1018.6;0.5
16/03/23;12.5;19.3;13:01;7.3;01:55;5.8;0;0.3;6.4;31;23:37;95;19.3;12.5;7.3;81;62;46;12.7;6.4;1.4;1018.6;1011.5;0.3
17/03/23;12;14.7;16:43;10;23:32;6.3;0;0;11.9;46.4;01:07;99;14.6;12.1;10;83;73;67;27.4;11.9;3.7;1014.2;1010.2;0
18/03/23;11.2;15.4;14:32;9;06:25;7.1;0;4.4;5.9;33.1;18:51;94;15.3;11.2;9;90;81;70;17.2;6;0.2;1019;1012.9;4.3
19/03/23;11.5;15.8;13:18;9.3;00:00;6.9;0;4.4;7.5;31;23:10;274;15.7;11.4;9.3;94;85;71;19.2;7.4;0.2;1024.7;1019;4.3
20/03/23;10.7;15.5;14:06;7;06:00;7.6;0;0;2.8;17.6;00:03;330;15.4;10.7;7.1;93;74;55;8.9;2.9;0;1025.1;1020;0
21/03/23;11.4;16.6;15:55;5.9;07:31;6.9;0;0;2.5;15.5;13:32;15;16.6;11.4;5.9;85;70;54;7.4;2.4;0;1021;1017.9;0
22/03/23;15;22.9;15:10;8.6;06:19;3.3;0;0;4.1;22;20:25;98;22.8;15;8.6;78;60;36;10.3;4;0;1019;1012.5;0
23/03/23;15.6;22.9;14:53;11.6;06:09;2.8;0;0;5.3;33.1;19:11;87;22.8;15.6;11.6;83;65;51;10.8;5.3;0;1014.6;1010.5;0
24/03/23;12.9;19.2;12:42;9.3;23:52;5.4;0;0;5.8;35.3;15:56;316;19.2;12.9;9.3;90;78;65;14.3;5.8;1;1023.4;1011.5;0
25/03/23;13;18;13:20;9.2;01:47;5.4;0;0;5.1;22;01:59;291;17.9;12.9;9.3;83;65;49;13.7;5.1;0;1024;1015.6;0
26/03/23;11.4;15;14:57;8.7;23:58;6.9;0;2.8;16.1;74.9;19:17;266;14.9;11.4;8.9;91;73;51;43.8;16.1;1.3;1018.6;1014.2;2.8
27/03/23;9.8;13.1;13:57;7.8;23:56;8.5;0;0;9.8;43.9;00:25;306;13.1;9.8;7.9;89;75;58;24;9.8;0.3;1026.8;1017.9;0
28/03/23;11.8;19.9;16:01;4.6;07:29;6.6;0;0;4.1;19.8;07:20;95;19.8;11.8;4.6;81;59;37;11.3;4.2;0;1026.8;1021.7;0
29/03/23;15.7;25.6;15:42;7.8;07:34;2.6;0;0;3.8;22;05:14;146;25.5;15.7;7.8;73;56;37;12.2;3.9;0;1024;1016.9;0
30/03/23;15.1;20.4;15:06;9;07:05;3.2;0;0;4;22;06:10;32;20.3;15.1;9;92;72;56;13.2;4;0;1023;1016.3;0
31/03/23;13.1;15.3;17:09;10.3;23:56;5.2;0;0.3;12.2;70.6;17:15;268;15.2;13.1;10.4;86;74;57;30.7;12.2;1.1;1020.3;1015.2;0.3
01/04/23;9.2;13.8;13:25;6.4;23:30;9.1;0;7.2;16;68.4;17:30;263;13.8;9.2;6.4;91;82;60;31.1;15.9;6.6;1020.7;1016.9;7.1
02/04/23;8.8;12.4;12:55;6.3;03:25;9.5;0;1.8;12.2;46.4;13:31;295;12.4;8.8;6.3;94;85;70;22.9;12.2;6;1024.7;1019.3;1.8
03/04/23;9.5;13.6;16:33;7.3;07:40;8.8;0;0;9.2;43.9;23:05;301;13.5;9.5;7.3;91;79;64;17.4;9.2;4.3;1024.7;1017.6;0
04/04/23;8.5;13.2;15:46;2.9;07:32;9.9;0;0;7.2;37.4;22:16;297;13.2;8.4;2.9;88;68;50;19;7.2;0;1021.3;1017.9;0
05/04/23;9.4;15.6;16:59;3.3;07:27;8.9;0;0;5.7;28.8;03:47;288;15.4;9.4;3.3;89;61;37;15.6;5.8;1;1023.7;1019.3;0
06/04/23;11.8;17.5;15:35;6.7;05:13;6.6;0;0;3.5;24.1;17:40;283;17.4;11.8;6.7;64;49;32;10.3;3.5;0;1022.4;1019.6;0
07/04/23;13.5;19.2;16:15;7.4;08:04;4.9;0;0;3;28.8;17:49;298;19.1;13.4;7.5;66;49;36;8;3.1;0;1020.7;1015.2;0
08/04/23;14.2;20;14:27;8.2;07:39;4.2;0;0;2.6;17.6;06:29;12;19.9;14.2;8.3;58;43;24;10.1;2.6;0;1020;1017.3;0
09/04/23;15.4;22;14:29;8.7;06:59;2.9;0;0;2.4;17.6;07:38;20;21.9;15.4;8.7;60;43;29;8.2;2.4;0;1021.3;1018.3;0
10/04/23;15.1;20.5;15:22;9.8;07:00;3.2;0;0;4.2;28.8;22:15;278;20.4;15.2;9.8;74;60;44;13.8;4.2;0;1025.1;1021;0
11/04/23;14.8;19.5;16:14;12;07:46;3.5;0;0;4.8;26.3;01:34;296;19.4;14.8;12.1;87;71;53;12.7;4.8;0.3;1025.1;1016.6;0
12/04/23;11.8;17.2;13:23;7.5;23:43;6.6;0;4.1;5.9;57.2;15:47;285;17.1;11.8;7.5;90;78;66;21.9;6;0.2;1016.9;1011.2;4.1
13/04/23;6.7;10.3;13:07;4.5;05:42;11.6;0;8.5;11.7;41.8;15:35;266;10.2;6.7;4.6;94;87;69;23;11.7;3.5;1017.9;1015.2;8.6
14/04/23;9.4;14.8;16:40;5.7;04:45;8.9;0;10.1;11.2;57.2;17:55;269;14.6;9.4;5.8;95;90;71;31.2;11.1;0.6;1017.6;1009.8;10.2
15/04/23;10.6;14.2;15:55;7.9;09:10;7.7;0;5.4;15.1;55.1;14:40;296;14.2;10.6;8;94;76;53;24.9;15.1;8.5;1024;1014.9;5.3
16/04/23;10.5;15.5;14:33;5.7;06:55;7.8;0;0;11.1;39.6;12:51;296;15.4;10.5;5.7;91;70;51;19.8;11.1;2.6;1025.4;1021;0
17/04/23;10.8;16.8;14:35;5.3;07:12;7.6;0;0;4;26.3;17:12;309;16.7;10.7;5.4;74;63;52;12.9;4;0.3;1021.7;1017.3;0
18/04/23;12.6;19.3;13:50;6.2;07:31;5.7;0;0;2.3;15.5;13:52;299;19.3;12.6;6.2;82;63;46;6;2.3;0;1018.3;1013.9;0
19/04/23;16.2;24.1;14:52;9.9;06:43;2.2;0;0;4.7;31;06:54;91;24.1;16.2;9.9;70;54;36;10.9;4.7;0.2;1016.3;1011.5;0
20/04/23;16.7;24.5;14:17;10.1;04:48;1.6;0;0;2.8;24.1;15:23;301;24.4;16.7;10.1;67;52;37;8.2;2.9;0;1012.9;1006.8;0
21/04/23;16;23.3;13:29;10.7;06:50;2.3;0;0;6;39.6;18:11;112;23.2;16.1;10.8;80;67;53;13.7;6.1;0.2;1008.5;1005.8;0
22/04/23;14.2;16.3;15:54;11.2;23:59;4.2;0;1;4.7;37.4;00:17;74;16.2;14.2;11.4;90;80;65;20.3;4.7;0;1015.9;1005.4;1
23/04/23;12.4;21.2;13:31;8.8;06:05;5.9;0;4.1;3.6;39.6;14:31;262;21.1;12.4;8.8;93;85;53;18.5;3.5;0;1016.9;1011.9;4.1
24/04/23;12.6;16.5;16:10;10;03:41;5.7;0;0.8;6.5;31;06:31;296;16.4;12.6;10;93;85;71;15.6;6.4;0;1018.6;1016.3;0.8
25/04/23;12.3;15.3;16:26;10.8;19:27;6;0;8.5;3.3;26.3;08:27;317;15.3;12.3;10.9;96;91;84;12.4;3.2;0;1018.3;1014.9;8.6
26/04/23;14.4;18.3;15:00;10.8;01:36;3.9;0;1;1.4;13.3;17:27;283;18.3;14.4;10.8;93;89;80;4;1.4;0;1018.6;1016.6;1
27/04/23;19;24.9;14:36;14.2;07:50;0;0.6;0;2.1;15.5;23:00;40;24.8;18.9;14.2;92;78;62;6.1;2.1;0;1018.3;1014.2;0
28/04/23;19.6;27.5;14:26;14.2;06:40;0;1.3;0;3.2;24.1;20:48;101;27.5;19.6;14.2;78;69;58;7.9;3.2;0;1016.6;1012.9;0
29/04/23;16.5;20.7;13:26;13.2;06:51;1.8;0;4.4;3.3;24.1;15:44;299;20.7;16.5;13.2;93;85;72;9.5;3.4;0;1017.6;1014.2;4.3
30/04/23;14.9;19.3;16:41;13.2;23:53;3.5;0;15;10.9;39.6;13:44;280;19.3;14.9;13.3;96;89;69;16.9;10.9;4.7;1020;1016.9;15
01/05/23;14.4;18.7;16:58;11.5;08:22;3.9;0;0;9.2;39.6;15:22;302;18.6;14.4;11.6;92;81;62;17.2;9.2;1.9;1022;1019;0
02/05/23;15.5;21.3;16:53;9.7;06:55;2.8;0;0;3.7;28.8;15:03;331;21.2;15.5;9.7;89;68;47;7.9;3.7;0;1022.7;1019;0
03/05/23;18.6;27.5;14:27;11.6;06:55;0;0.2;0;3.5;26.3;23:50;87;27.4;18.6;11.7;73;54;38;7.7;3.5;0;1019.6;1013.5;0
04/05/23;19.2;25.7;14:23;13.3;07:35;0;0.9;0;3.8;28.8;01:49;108;25.7;19.2;13.3;80;65;54;10.8;3.9;0;1020.3;1014.2;0
05/05/23;19.1;25.5;16:06;14.5;06:11;0;0.8;0;2.4;22;04:44;13;25.5;19.1;14.5;81;66;54;9.2;2.4;0;1020;1016.3;0
06/05/23;20.7;29.8;14:19;13.6;07:28;0;2.3;0.3;3;22;19:04;135;29.7;20.6;13.6;88;68;36;10;3.1;0;1017.9;1011.2;0.3
07/05/23;16.7;21;17:24;13.9;09:00;1.6;0;2.8;5.3;26.3;01:33;307;20.8;16.8;13.9;91;80;60;10.6;5.3;1.4;1023.7;1017.9;2.8
08/05/23;15.8;20.3;15:49;12.2;07:20;2.5;0;0;5.1;26.3;13:48;320;20.2;15.8;12.2;90;76;61;10;5;0.2;1025.4;1022.4;0
09/05/23;15;19.1;11:51;13.1;23:52;3.4;0;15;5.4;39.6;21:55;278;19.1;14.9;13.2;93;83;69;17.5;5.3;0;1023;1019;15
10/05/23;12.9;17.7;15:46;10.6;06:30;5.5;0;3.9;9.4;39.6;02:08;299;17.7;12.9;10.6;91;81;61;16.4;9.3;4.5;1023.4;1020.3;3.8
11/05/23;11.8;16;16:43;9;23:29;6.5;0;2.3;6.9;35.3;16:54;300;15.9;11.8;9.1;91;82;59;14.5;6.9;2.7;1022;1016.9;2.3
12/05/23;11;16.5;15:13;8.6;05:51;7.4;0;12.1;6.5;26.3;15:27;296;16.3;11;8.6;93;85;65;12.2;6.6;1;1019.6;1015.6;11.9
13/05/23;11.7;16.1;13:13;9.6;07:02;6.7;0;17.8;5.5;26.3;00:52;304;16;11.7;9.7;94;90;72;11.9;5.5;0.2;1020.3;1018.3;17.8
14/05/23;13.4;19.4;17:24;10.8;01:57;5;0;3.9;8.7;43.9;18:37;286;19.3;13.4;10.8;95;85;60;16.1;8.7;3.1;1020;1015.6;4.1
15/05/23;13.9;18.6;18:23;11.4;01:07;4.4;0;2.3;10.4;41.8;00:03;294;18.6;13.9;11.4;92;82;61;20;10.3;4.2;1020;1014.6;2.3
16/05/23;13;17.3;14:27;10.9;06:00;5.4;0;0.3;10.4;46.4;14:38;307;17.2;13;10.9;91;77;55;17.7;10.5;4;1021;1016.3;0.3
17/05/23;12.7;18.7;15:59;7;06:24;5.7;0;0;7;35.3;17:06;317;18.6;12.7;7;77;62;48;14.8;7.1;2.9;1021.7;1017.6;0
18/05/23;12.2;16.2;14:38;9.5;07:10;6.2;0;0;4.7;22;13:35;286;16.2;12.1;9.6;75;68;58;11.1;4.7;0.2;1021.7;1020;0
19/05/23;12.7;16.7;14:24;10.8;07:00;5.7;0;0.5;6.6;37.4;23:38;271;16.7;12.7;10.8;86;77;67;16.9;6.6;1.3;1022;1017.9;0.5
20/05/23;14.5;21.1;15:47;9.8;06:20;3.8;0;0;4.2;31;00:23;281;21;14.5;9.8;86;73;52;15.6;4.2;0;1018.6;1013.2;0
21/05/23;13.9;16.5;18:38;11.9;08:14;4.5;0;5.2;1.8;19.8;00:04;272;16.4;13.9;11.9;90;85;75;10;1.9;0;1016.3;1014.2;5.1
22/05/23;16.3;21;16:56;13.3;04:51;2;0;2.6;1.4;13.3;16:49;345;20.9;16.3;13.3;93;87;74;6.3;1.4;0;1016.6;1014.2;2.5
23/05/23;17.5;23.2;15:41;13.7;06:34;0.8;0;0.3;1.8;17.6;22:23;282;23.2;17.6;13.7;93;83;67;6.4;1.8;0;1017.6;1014.2;0.3
24/05/23;16.5;20.7;17:53;14.3;05:52;1.8;0;6.7;2.3;19.8;22:20;308;20.7;16.5;14.4;93;85;73;6.8;2.3;0;1017.9;1014.9;6.6
25/05/23;16.5;22.2;15:18;12.5;07:44;1.9;0;0;4;31;05:24;235;22.1;16.4;12.6;91;79;58;12.1;4;0;1020.7;1016.3;0
26/05/23;19.9;27.6;15:29;13.8;01:28;0;1.6;0.3;2.6;17.6;05:44;78;27.5;19.9;13.8;87;69;47;6.4;2.6;0;1021;1017.3;0.3
27/05/23;22.5;29.4;15:58;16.1;05:03;0;4.2;0;1.8;13.3;05:31;66;29.3;22.6;16.2;74;57;44;6.3;1.8;0;1019.6;1014.2;0
28/05/23;22.4;30.3;13:58;16;06:57;0;4.1;0;2.2;17.6;19:17;350;30.2;22.4;16.1;72;55;38;7.4;2.3;0;1015.2;1009.8;0
29/05/23;20.3;28;15:58;15.4;06:09;0;2;0;2.2;33.1;16:25;41;27.9;20.3;15.4;78;65;45;12.9;2.3;0;1015.9;1011.9;0
30/05/23;21.3;28.6;14:14;15.9;03:48;0;3;0;2.8;15.5;19:56;227;28.5;21.3;15.9;78;65;48;7.7;2.7;0;1016.6;1013.5;0
31/05/23;18.4;26.2;13:17;15.3;20:55;0;0.1;7;3.3;28.8;17:32;201;26.2;18.4;15.3;89;77;63;9.8;3.4;0;1016.3;1013.9;6.9
01/06/23;19.7;25.9;14:57;14.9;05:54;0;1.3;1;3.8;22;17:39;109;25.8;19.7;14.9;88;73;52;10.5;3.7;0.5;1016.3;1012.9;1
02/06/23;20.2;27.1;13:10;16.2;06:04;0;1.8;0;3.1;22;03:02;43;27;20.2;16.2;75;66;49;8.4;3.1;0;1014.9;1012.2;0
03/06/23;20.3;27.1;12:11;15.6;06:20;0;2;1;2.2;19.8;14:04;55;26.9;20.3;15.6;79;70;53;5.8;2.1;0;1014.9;1012.2;1
04/06/23;20.4;28.4;15:13;15.4;05:51;0;2.1;0;2.6;19.8;00:04;62;28.4;20.4;15.4;84;71;49;6.3;2.6;0;1015.9;1012.9;0
05/06/23;21.3;28.5;15:05;15.6;07:06;0;3;0;2.6;24.1;18:09;22;28.5;21.3;15.6;80;65;45;7.2;2.6;0;1016.6;1012.5;0
06/06/23;20.3;29;15:17;16.8;07:02;0;2;35.9;2.6;26.3;18:03;82;28.9;20.3;16.8;89;74;50;12.7;2.6;0;1015.9;1012.9;35.8
07/06/23;20.9;26.9;13:43;16.4;06:10;0;2.5;0;4.1;22;04:39;68;26.8;20.9;16.4;86;73;57;7.9;4;0.5;1015.2;1011.2;0
