référence du poste;type de poste;débit nominal (t/h);"combustible (GN : Gaz naturel ; Fioul BTS : Fioul basse teneur en soufre ; Fioul TBTS : Fioul très basse teneur en soufre ; FOL : Fioul lourd ; FOD : Fioul domestique)";date;v éjection gaz (m/s);débit gaz (Nm3/h);T° moyenne (°C);O2 (%);Humidité (%);température enrobés (°C);débit des enrobés (t/h);régime tube et brûleur (%);durée prélèvement (min);[Poussières] à 17% O2 sur Gaz Humide (mg/Nm3);Flux Poussières (kg/h);[SO2] à 17% O2 sur Gaz Humide (mg/Nm3);Flux SO2 (kg/h);[NO2] à 17% O2 sur Gaz Humide (mg/Nm3);Flux NO2 (kg/h);[COVt] à 17% O2 sur Gaz Humide (mg/Nm3);Flux COVt (kg/h);[COVnm] à 17% O2 sur Gaz Humide (mg/Nm3);Flux COVnm (kg/h);Acide chlorhydrique (HCl) (mg/h);Acide fluorhydrique (HF) (mg/h);Ammoniac (NH3) (mg/h);Antimoine (Sb) (mg/h);Aluminium (Al) (mg/h);Arsenic (As) (mg/h) ;Béryllium (Be) (mg/h) ;Cadmium (Cd) (mg/h) ;Chrome(Cr) (mg/h) ;Cobalt (Co) (mg/h) ;Cuivre (Cu) (mg/h) ;Etain (Sn) (mg/h) ;Manganèse (Mn) (mg/h) ;Mercure (Hg) (mg/h) ;Nickel (Ni) (mg/h) ;Plomb (Pb)  (mg/h) ;Sélénium (Se) (mg/h) ;Tellure (Te)  (mg/h) ;Thallium (Tl)  (mg/h) ;Vanadium (V) (mg/h) ;Zinc (Zn) (mg/h) ;Fluoranthène;Benzo-a-anthracène;Benzo-b-Fluoranthène;Benzo-k-Fluoranthène;Benzo-a-pyrène;Dibenzo-a,h-anthracène;Benzo-g,h,i-pérylène;Indeno-1.2.3,c,d-pyrène;Formaldéhyde;Acétaldéhyde;Acroléïne;Furfural;Chloroacétaldéhyde;1,1,2-Trichloroéthane;1,1,2,2-Tétrachloroéthane;1,1-dichloroéthène;1.2-Dicholorobenzène;1,4-dioxane;Benzene (71-43-2);Biphényl;Chloroforme;Chlorométhane;Chlorure de benzyle;Dichlorométhane;Méthacrylate;Méthacrylate de méthyle;Tétrachloroéthylène;Tétrachlorométhane;trichloroéthylène;Pyridine;Diméthylsulfide;Dimethyldisulfide;2-Butanthiol;2-Propantiol;Butylmercaptan;Ethylmercaptan;Méthylmercaptan (Methanethiol);Propylmecaptan;ter-Butyl mercaptan;1,3 Butadiène (H340-H350);Benzène (H340-H350);Dichlorométhane (H351);Tétrahydrofuran (H351);1,2-diethoxyethane (H360);Ethylbromide (H351);1,4-dichlorobenzene (H351);2,4-TDI (2,4-diisocyanate de toluène;Acide acrylique;Acide chloroacétique;Anhydre maléique;Diéthylamine;Ethylamine;Triéthylamine;Diméthylamine;aniline;O-Toluidine;2,3-Diméthylphénol;2,4,5-Trichlorophénol;2,4,6-Trichlorophénol;2,4-Dichlorophénol;Phénol 2-nitro;2,5-Diméthylphénol;2,6-Diméthylphénol;2-Méthylphénol (o-crésol);3-Méthylphénol (m-crésol);2-Nitrotoluène;3,4-Diméthylphénol;3,5-Diméthylphénol;4-Nitrotoluène;3-Nitrotoluène;4-Méthyl-2-nitrophénol;4-Méthylphénol (p-crésol);Phénol;Nitrobenzène;Pyrène;Naphtalène;Phénanthrène;Fluorène;Chrysène;Anthracène;Acénaphtylène;Acénaphtène;2-méthylnaphtalène;H2S;Styrène;Propanal;Pentanal;Pentadécane;Octanal;octaméthyl;N-Pentane;N-Butane;Isobutène;Isobutane;Huile
2005-11;discontinu;200;GN;;;29614;80;11;23.4;;;;;1.2;0.1;0.3;0;12.7;0.7;20.7;1.2;10.8;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005-12;discontinu;200;GN;;;28844;84;12.3;15.8;;;;;1.4;0.1;5.2;0.3;13.3;0.7;13.3;0.7;9.6;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2005-22;Continu;200;FOL TBTS;;15.1;27842;60;12.2;15.6;;;;;8.9;0.5;116;7.1;2.7;0.1;36.1;1.9;34.7;1.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;discontinu;170;TBTS;23/06/06;10.2;35700;68;16.8;15.3;175;115;0.75;60;9.3;0.3;19;0.6;112;3.5;6.4;0.2;6;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;discontinu;75;GAZ;04/07/06;12.2;27409;62;17.8;1.1;186;80;0.54;60;0.7;0;0;0;15;0.3;42;0.9;21;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;discontinu;240;GAZ;02/08/06;13.2;27330;150;12.8;12.7;176;170;;120;1.9;0.1;7.8;0.4;25.5;1.3;13.1;0.7;11.1;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;TSM;150;FOD;01/08/06;18.6;8985;132;14.7;8.6;160;100;;90;90;1.5;0;0;19.3;0.3;35.3;0.5;35.3;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;discontinu;360;GAZ;03/08/06;8.7;42499;72;15.3;15.4;165;200;;60;2.9;0.2;0;0;18.9;1;12.2;0.6;9.7;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;TSM;110;GAZ;25/07/06;18;23374;98;14.5;19.3;156;110;;120;71.4;2.2;27.9;0.9;40.2;1.2;65.5;2;60;1.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;TSM;120;GAZ;13/09/06;18.9;16073;150;11.5;15.5;175;120;1.0;120;93;3;0.2;0;22;0.7;43;1.4;40;1.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;TRF;110;FOD;14/06/06;14.5;34523;111;14;10.7;;;0.5;90;4.8;0.3;520;28;133;7.2;37;2;26;1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;TSM;140;GAZ;01/06/06;19.4;25682;158;13.7;6.8;180;110;0.85;120;6.1;0.3;268.7;11.7;183;8;31;1.4;24;1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;TSM;180;TBTS;27/09/06;18.7;29145;117;15;14.1;165;150;;64;0.6;0;42;1.6;176.6;6.6;76.1;2.9;71.5;2.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;discontinu;240;GAZ;07/09/06;20.8;49087;110;14.4;13.9;173;240;;120;12.1;0.9;0.1;0;35;2.4;;;30.9;2.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;TSM;240;GAZ;05/07/06;19.5;43313;138;14.4;30.1;156;205;0.58;60;8.2;0.4;0.1;0;15;0.7;98;4.9;66;3.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;TSM;250;GAZ;06/10/06;16.2;41849;85;16;11.5;149;175;0.4;30;73;3.4;0;0;32.9;1.5;76;3.5;68;3.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;TSM;120;TBTS;14/09/06;9.5;15103;94;11.8;7.3;143;120;;92;90;1.7;256;8.7;108;3.6;7.9;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;TSM;400;TBTS;12/09/06;8.3;28074;98;9.2;1.4;165;250;0.65;120;0.3;0;1;0.1;97;8;116;9.5;77;6.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;discontinu;120;TBTS;10/10/06;21.1;39869;82;16;9.6;165;100;0.85;120;2.2;0.1;5.3;0.2;166.3;6;25.5;0.9;23.7;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;discontinu;170;TBTS;20/05/05;10.8;33200;117;16.2;14;182;138;0.85;120;6.6;0.2;48.3;1.4;138.3;3.9;2;0.1;1.4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;discontinu;75;GAZ;03/05/05;13.8;30526;68.5;10.1;5.4;160;75;;40;2.2;0.1;0;0;4.8;0.4;6.2;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;discontinu;240;GAZ;15/11/05;22;54832;94;14.3;15.8;180;170;0.63;47;0.7;0;10.9;0.5;24.2;1.1;9.7;0.4;9.1;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;TSM;240;GAZ;18/03/05;18.4;41100;140;14.7;10.4;;200;;123;5.7;0.2;0.1;0;19;0.7;79.4;2.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;TSM;250;GAZ;17/03/05;16.9;42300;100;15.1;4.6;;200;;;7.5;0.3;0.2;0;39.3;1.6;49.5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;TSM;80;FOD;01/06/05;20;15096;80;15.9;10.8;160;80;0.6;99;16.8;5.9;0.2;0;29;0.4;54.1;0.7;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;TSM;140;GAZ;01/12/05;21.7;19140;148;13.3;26;177;80;0.76;90;1.4;0;0;0;18.2;0.3;30.6;0.4;29.1;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;TRF;240;FOD;19/05/05;14;33880;93;15.6;20.4;165;150;0.5;65;16.7;0.5;76.9;2.1;150;4.1;58.8;1.6;56.3;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;discontinu;60;GAZ;09/06/05;16.7;31246;45;18;8.8;;50;;71;17.6;0.5;0.1;0;19.2;0.5;173.7;5;61.9;1.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;discontinu;360;GAZ;06/12/05;11;27059;104;13;15.9;170;250;0.75;120;1.5;0;0;0;19.8;0.5;5.5;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;TSM;400;TBTS;27/04/05;9.2;31515;90;10.1;33.3;145;240;;61;1.9;0;0.2;0;107.9;2.3;14.3;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;discontinu;240;GAZ;18/05/05;21;49166;113;14.4;14.3;175;240;0.6;120;13.5;0.6;0;0;32.4;1.4;;;23.1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;discontinu;120;TBTS;08/09/05;21.5;41006;81.7;16.1;9;;;;;1.7;0.1;4.7;0.2;130.8;4.9;24;0.9;22.9;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;discontinu;170;TBTS;01/01/00;10.7;32900;116;14.6;14.3;160;;;108;45;1.3;45;1.3;102.5;3.1;8.8;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;discontinu;75;GAZ;08/04/04;13.4;31600;46;18.1;16.1;164;70;;30;1.4;0;1.5;0;17.9;0.4;64.8;1.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;discontinu;240;GAZ;19/05/04;10.5;31900;75.5;14.7;17.9;174;110;;120;3.9;0.1;13.3;0.4;26;0.6;22.2;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;TSM;250;GAZ;04/04/04;17.1;41600;103;15.8;13.9;156;175;;30;1.5;0.1;0.8;0;31.5;1.2;55.4;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;TSM;240;GAZ;07/04/04;15.5;34300;135;11.8;27.6;;160;;90;1.3;0;0.6;0;16.5;0.4;47.8;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;TRF;110;FOD;07/09/04;15;22588;108.9;13.8;18.7;165;110;;120;26.7;0.5;127.2;2.3;155;2.8;29.6;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;TRF;240;FOD;10/11/04;15.4;19514;106;17;6;;140;;120;19.4;0.4;27.4;0.5;182;3.3;76;1.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;TSM;110;GAZ;19/05/04;17.8;21949;120;14.1;16.8;169;110;;120;25.3;0.5;79;1.4;40;0.8;34.8;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;TRF;160;BTS;;8.6;12679;68;14.1;6.8;160;100;;60;1.1;0;9.5;0.1;267;3.2;31.6;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;TSM;200;BTS;;14.3;47592;135;14;7.8;160;150;;45;0.3;0;146.7;6.4;226.5;9.9;0.2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;TSM;250;GAZ;;19.2;42501;138;14.6;13.3;160;160;;120;3.6;0.1;1.4;0.1;73;2.7;77;2.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;TRF;200;BTS;;17.5;31193;120;15.5;14;165;120;;120;0.5;0;45.7;1.2;169.8;4.6;19.3;0.5;16.5;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201;Discontinu;240;GAZ;;12.9;31373;92;14.3;16.8;170;170;;90;0.1;0;18.4;0.5;58.2;1.5;34.3;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202;TSM;200;GAZ pet;;8;18211;85;14.2;21.3;165;80;0.78;60;0.8;0;3.2;0.1;52.6;0.8;6.9;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;Discontinu;200;GAZ;;19.3;40415;123;16.7;19.8;165;120;;120;8.8;0.3;12.7;0.4;36.8;1.2;76.7;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;discontinu;;BTS;;;29077;50;19.2;12;;;;;9;;20.1;;49.3;;66.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;discontinu;;BTS;;;27670;99.9;13.3;13.1;;;;;23.7;;;;;;23.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;discontinu;;Gaz;;;30932;59.3;18;10.7;;;;;3.5;;1.4;;22.1;;89.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;discontinu;;Gaz;;;54797;101;10.8;9.1;;;;;1.9;;4;;22.9;;16.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;discontinu;;BTS;;;23160;104;16.3;10.7;;;;;75.4;;297.9;;95.1;;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;discontinu;;BTS;;;40514;79;16.5;11.8;;;;;0.5;;131.5;;92.7;;83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Continu;;Gaz;;;63731;132;14;12.4;;;;;7.5;;1.4;;26.6;;35.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;discontinu;;BTS;;;23538;88;14.5;12.8;;;;;3.4;;24.8;;102.9;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;discontinu;;FOD;;;20600;;18.6;;;;;;0;;0.8;;27.8;;104.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;Continu;;BTS;;;28200;141.6;12;;;;;;0;;252.4;;122;;28.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A;discontinu;220;F;;14.9;52437;97;16.4;14;160;;;;28.4;1.7;46.9;2.8;208.8;12.6;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;continu;120;Gaz;;13;41100;77;16.1;9.8;160-180;;;;10.1;0.5;;;21.8;1.1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C;discontinu;170;Gaz;;14.6;38600;103;10;;157;;;;1.7;0.3;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
D;discontinu;148;F;;9.3;31677;86;15.1;15.9;170-180;;;;2.4;0.1;94.8;4.4;122.6;5.7;7.1;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E;Non renseigné;;Gaz;;11.7;;;;;;;;;0.8;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F;discontinu;180;F;;11.5;35642;99;14.8;11.1;150-180;;;;14.3;0.8;55;3;94.3;5.2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
G;discontinu;160;Gaz;;12;45030;74;16.5;20.8;160;;;;8.2;0.4;2.2;0.1;26.5;1.3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
H;continu;130;Gaz;;14.2;38061;133;19.6;10.9;165;;;;56.3;0.8;47.3;0.6;10.5;0.1;1.5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I;continu;140;Gaz;;14.9;31527;123;14.2;20;170;;;;1.9;0.1;;;24.1;1.3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
